ID_Code;Country;E_13_14;E_14_15;E_15_16;E_16_17;E_17_18;E_18_19;E_19_20;E_20_21;I_13_14;I_14_15;I_15_16;I_16_17;I_17_18;I_18_19;I_19_20;I_20_21
1;France;3.032;-11.012;3.409;9.286;11.023;3.792;-9.445;12.712;-0.762;-7.003;-3.808;9.714;-6.986;-13.736;3.373;2.667
3;Netherlands;-3.426;-8.249;14.648;9.017;21.727;12.962;-9.837;18.788;3.020;-16.147;0.608;26.357;-10.579;-7.130;13.288;10.576
4;Germany;9.727;-10.967;4.655;7.857;6.096;-4.242;-3.843;9.802;-8.267;-3.178;-0.388;-1.617;-3.349;-10.470;12.719;-9.161
5;Italy;0.163;-4.457;9.854;11.839;14.332;-2.930;-17.128;27.726;-4.328;-12.378;-5.656;13.255;-10.956;-13.365;-1.604;13.369
6;United Kingdom;11.940;5.935;10.522;-16.964;15.519;-1.702;-0.382;10.116;-5.877;-6.512;-5.394;24.205;12.211;-26.176;-0.987;-9.795
9;Greece;8.070;-10.798;-1.083;17.089;34.730;-3.344;-19.840;56.252;7.321;-57.645;-30.350;44.557;10.480;-28.376;-10.442;41.008
10;Portugal;-8.386;-0.770;16.741;24.213;37.037;0.000;-19.393;46.537;14.223;-14.553;3.175;0.965;6.267;17.050;6.300;7.034
11;Spain;9.290;-0.584;5.663;25.940;23.329;0.217;-17.881;31.463;-4.993;-9.324;1.651;12.601;-12.996;-21.761;13.345;13.094
17;Belgium;12.522;-14.613;0.140;23.313;23.438;-18.214;7.022;23.388;0.843;-19.090;0.222;18.836;-5.811;-11.438;15.075;41.374
30;Sweden;13.341;-11.358;1.883;12.750;4.832;-6.613;-7.127;16.762;-1.179;-19.524;-7.481;17.035;-1.255;-11.447;11.753;1.321
38;Austria;6.479;-9.414;2.470;7.146;5.103;-1.822;-4.520;22.418;2.722;-14.216;-3.549;-2.413;3.186;-13.823;7.644;13.317
39;Switzerland;191.905;76.235;-52.071;-66.346;93.448;-41.611;5.204;2.524;-49.032;-49.380;1.635;170.382;-58.475;17.004;130.260;-63.098
60;Poland;16.217;-2.585;13.742;15.762;9.454;-1.124;0.751;22.399;-3.998;-3.192;6.995;7.001;-10.395;-19.401;15.437;9.835
61;Czech Republic;15.076;-6.956;4.398;10.563;10.813;-4.278;1.358;34.409;-8.778;-8.167;15.266;9.846;-6.060;-14.876;17.445;-10.596
64;Hungary;9.110;3.468;18.222;27.280;8.849;8.409;-11.227;3.067;-3.456;11.300;-0.048;15.613;-4.509;-13.865;12.430;-0.337
