Code;Country;E_Total
4;Germany;17544881.092
400;USA;13207644.693
6;United Kingdom;12372140.466
5;Italy;10323502.477
612;Iraq;9970224.351
11;Spain;8786285.481
1;France;8109803.933
3;Netherlands;6171187.672
624;Israel;5664540.456
75;Russia;5186535.288
647;UAE;4894436.516
66;Romania;4690524.713
17;Belgium;4484750.341
60;Poland;4253020.749
220;Egypt;3908360.977
68;Bulgaria;3568048.119
720;China;3377764.282
9;Greece;2812276.628
72;Ukraine;2645854.607
204;Morocco;2616397.096
616;Iran;2536746.356
216;Libya;2508274.025
78;Azerbaijan;2120684.391
608;Syria;1918856.862
81;Uzbekistan;1693703.465
91;Slovenia;1583708.506
404;Canada;1564094.632
30;Sweden;1553154.026
208;Algeria;1528412.905
76;Georgia;1526060.678
61;Czech Republic;1515721.699
604;Lebanon;1477063.877
38;Austria;1383670.561
10;Portugal;1354847.372
98;Serbia;1350901.483
64;Hungary;1302164.527
212;Tunisia;1245367.132
