Code;Country;I_Total
720;China;29099543.833
75;Russia;25575826.888
999;Confidential Country;20391279.129
4;Germany;19741912.189
400;USA;11703746.832
5;Italy;10429475.109
664;India;7197060.404
1;France;7174425.069
728;South Korea;6869902.362
11;Spain;5699298.158
17;Belgium;5253596.306
6;United Kingdom;5035830.431
3;Netherlands;4012334.863
72;Ukraine;3969753.530
732;Japan;3953344.180
508;Brazil;3541625.406
60;Poland;3300647.778
66;Romania;3061416.055
632;Saudi Arabia;3029900.878
39;Switzerland;2867559.017
701;Malaysia;2717673.339
616;Iran;2500961.765
61;Czech Republic;2455273.425
68;Bulgaria;2341667.457
647;UAE;2198582.461
