ID_Code;Country
1;France
3;Netherlands
4;Germany
5;Italy
6;United Kingdom
9;Greece
10;Portugal
11;Spain
17;Belgium
30;Sweden
38;Austria
39;Switzerland
60;Poland
61;Czech Republic
64;Hungary
66;Romania
68;Bulgaria
72;Ukraine
75;Russia
76;Georgia
78;Azerbaijan
81;Uzbekistan
91;Slovenia
98;Serbia
204;Morocco
208;Algeria
212;Tunisia
216;Libya
220;Egypt
400;USA
404;Canada
508;Brazil
604;Lebanon
608;Syria
612;Iraq
616;Iran
624;Israel
632;Saudi Arabia
647;UAE
664;India
701;Malaysia
720;China
728;South Korea
732;Japan
999;Confidential Country
