Code;Country;I_Total
720;China;29099543.833
75;Russia;25575826.888
999;Confidential Country;20391279.129
4;Germany;19741912.189
400;USA;11703746.832
5;Italy;10429475.109
664;India;7197060.404
1;France;7174425.069
728;South Korea;6869902.362
11;Spain;5699298.158
17;Belgium;5253596.306
6;United Kingdom;5035830.431
3;Netherlands;4012334.863
72;Ukraine;3969753.530
732;Japan;3953344.180
508;Brazil;3541625.406
60;Poland;3300647.778
66;Romania;3061416.055
632;Saudi Arabia;3029900.878
39;Switzerland;2867559.017
701;Malaysia;2717673.339
616;Iran;2500961.765
61;Czech Republic;2455273.425
68;Bulgaria;2341667.457
647;UAE;2198582.461
220;Egypt;1970856.375
624;Israel;1876129.975
9;Greece;1862688.451
30;Sweden;1787055.612
736;Taiwan;1696083.231
700;Indonesia;1669322.202
38;Austria;1660120.769
81;Uzbekistan;1645831.918
612;Iraq;1587719.168
680;Thailand;1484015.563
64;Hungary;1465721.914
79;Kazakhstan;1454755.500
480;Colombia;1435794.535
690;Vietnam;1411157.054
32;Finland;1209872.723
388;Rep. of South Africa;1081779.002
208;Algeria;1060135.551
10;Portugal;1027631.368
63;Slovakia;954028.140
8;Denmark;945550.008
649;Oman;944167.410
404;Canada;938581.771
7;Ireland;916484.854
412;Mexico;873843.251
800;Australia;856735.424
28;Norway;800837.587
204;Morocco;795071.229
216;Libya;721190.066
78;Azerbaijan;659913.385
80;Turkmenistan;617400.850
644;Qatar;541020.484
55;Lithuania;530413.873
528;Argentina;475504.705
666;Bangladesh;434175.548
76;Georgia;423546.763
484;Venezuela;422225.409
91;Slovenia;413036.946
98;Serbia;402033.353
706;Singapore;347824.203
92;Croatia;346163.857
272;Côte d'Ivoir;336920.782
512;Chile;335768.965
74;Moldova;327443.573
640;Bahrain;297962.501
662;Pakistan;281580.783
228;Mauritania;276636.524
212;Tunisia;249230.575
504;Peru;237552.367
524;Uruguay;234583.640
73;Belarus;226180.590
54;Latvia;208483.232
93;Bosnia and Herzegovina;205129.907
53;Estonia;204482.085
96;North Macedonia;181467.485
608;Syria;175836.646
82;Tajikistan;174827.570
708;Philippines;143912.402
500;Ecuador;135934.888
516;Bolivia;133151.035
18;Luxembourg;124532.554
601;Turkish Rep. of Nor.Cyprus;113562.265
276;Ghana;109970.456
628;Jordan;100346.630
244;Chad;100060.722
46;Malta;95086.173
288;Nigeria;94270.566
224;Sudan;92875.770
669;Sri Lanka;91619.298
636;Kuwait;89871.934
83;Kyrgyzstan;73464.525
740;Hong Kong;63667.483
