Code;Country;13/14;14/15;15/16;16/17;17/18;18/19;19/20;20/21
720;China;1.868962049;-1.745358339;-1.705682686;-4.421412673;-9.462306364;-11.05664068;20.45776629;26.29268098
75;Russia;-2.437331151;-18.36811551;-25.43771857;29.93288528;13.00552696;1.781028721;-22.86772059;43.44822602
999;Confidential Country;1.905180932;-28.42521466;-31.15882517;21.93595916;34.29749697;37.93845044;-9.799370326;49.24794854
4;Germany;-8.267306979;-3.17805521;-0.388468035;-1.616880622;-3.348741644;-10.47040248;12.71944924;-9.160580214
400;USA;0.857787238;-13.82730863;-2.820291343;8.980540564;5.755389775;-8.836586203;-2.721468025;1.551381387
5;Italy;-4.327802128;-12.37833536;-5.656097984;13.25489818;-10.95581229;-13.36487017;-1.604087856;13.3685778
664;India;6.776276072;-22.20085606;1.172629277;7.981502207;23.02404566;-11.82090659;-27.20486812;49.00391956
1;France;-0.761845024;-7.003407262;-3.807683531;9.713991971;-6.985814455;-13.7364928;3.372894621;2.666705202
728;South Korea;21.60649459;-6.26899951;-10.74380014;5.47786044;-2.699708326;-12.97617864;-0.740067987;19.80433799
11;Spain;-4.993183212;-9.323852179;1.650755536;12.60106451;-12.99646437;-21.76124184;13.34457462;13.09415261
17;Belgium;0.84301714;-19.09025089;0.222068879;18.83610897;-5.810649304;-11.43756695;15.0748124;41.37439501
6;United Kingdom;-5.876952433;-6.512015623;-5.393703903;24.20471051;12.21050399;-26.17584152;-0.986643159;-9.79524814
3;Netherlands;3.020033886;-16.14662351;0.607532489;26.35729729;-10.57872874;-7.130485676;13.28763826;10.57571055
72;Ukraine;-6.763817858;-18.08054054;-26.22197946;13.07922944;-6.21167812;-1.025340404;-4.955004234;53.25017502
732;Japan;-7.240097409;-6.139696032;24.31878029;9.138490222;1.827518552;-19.20747538;2.615483777;5.609130122
508;Brazil;23.84188912;-1.27643066;-2.816768734;47.559946;26.89047836;-19.63310153;21.5899748;9.704004667
60;Poland;-3.997532728;-3.192009645;6.995161228;7.001352283;-10.39547469;-19.40102094;15.43709356;9.834570211
66;Romania;-4.742910204;-23.23217002;-12.10642341;8.685159405;4.794136845;1.835814376;-0.059722377;10.55025036
632;Saudi Arabia;22.43109539;-11.8721426;-14.09173886;20.67940066;13.21090275;-20.19944982;-14.24028891;76.19102334
39;Switzerland;-49.03163671;-49.38028624;1.635082146;170.3821945;-58.47477575;17.00389074;130.259653;-63.09829545
701;Malaysia;-4.878849994;9.480127633;45.27315547;51.36451832;-27.30235394;-17.93146863;7.691855636;36.56901245
616;Iran;-4.452383311;-38.84504024;-22.09322526;58.47800428;-7.456131985;-48.75196582;-66.94439721;109.6858579
61;Czech Republic;-8.777944145;-8.166653221;15.2660911;9.846336378;-6.060284707;-14.87591877;17.44466885;-10.59598658
68;Bulgaria;4.054963813;-19.70876846;-7.898348502;29.06226175;-8.793528932;-6.322631392;-10.93291601;10.23959552
647;UAE;-35.90399637;-39.52638743;78.44558724;48.58549052;-31.81963464;15.19116219;27.67842156;-60.76623096
220;Egypt;-10.67306123;-14.46613463;10.04644193;39.36368044;7.672240139;-12.20548692;-9.499976654;14.38889424
624;Israel;13.24053127;-37.550274;-25.50356248;16.6794849;20.370979;-20.00728541;-6.531527015;25.38795049
9;Greece;7.320739402;-57.64503986;-30.34970688;44.55679272;10.47955282;-28.37595243;-10.44227358;41.00849975
30;Sweden;-1.178803601;-19.52420152;-7.480549701;17.03496022;-1.255318943;-11.44674874;11.75345365;1.321389893
736;Taiwan;6.996275954;-5.046600122;-17.37376505;23.92101401;-15.02303774;-25.72694184;12.4647386;17.50223679
700;Indonesia;-2.363221568;-21.85116301;-12.2732075;4.276811287;-8.966235478;-0.667150155;-12.38513723;40.89334981
38;Austria;2.722160645;-14.216254;-3.549131919;-2.413222072;3.185631617;-13.82317391;7.644478277;13.31677058
81;Uzbekistan;-0.776661853;-14.61672631;0.0936466;15.89469063;3.725767339;31.11627954;-14.92837257;69.67673064
612;Iraq;75.85645844;16.07730242;172.2988918;79.79115432;1.38145675;64.18684776;206.2382557;-80.64146938
680;Thailand;-4.858597506;-10.28141244;18.42275453;26.18052338;-26.46957044;-18.63853575;6.128645003;22.58421057
64;Hungary;-3.456294264;11.30049336;-0.048288904;15.61335686;-4.509069836;-13.86515562;12.42986038;-0.336986705
79;Kazakhstan;-30.46225765;-8.812771264;1.551312464;31.92473154;7.222030775;-12.34467232;-15.91269537;23.22702322
480;Colombia;14.87571361;-2.009574496;21.67417437;61.74909676;20.66690543;-23.95987216;-29.54521311;41.71232027
690;Vietnam;23.08672279;-7.858894998;-7.271259928;51.33653666;-28.64917045;-17.87119996;-13.04618081;3.064798299
32;Finland;-9.301936955;-14.94365035;-5.756772816;1.155399369;4.832758813;-9.798353298;10.73581169;19.89930006
